count,experiment,fragments,benchmark
1830,abinitio,auto,T04
3262,abinitio,picker,T04
2382,abinitio,wauto,T04
6858,nubinitio,auto,T04
9149,nubinitio,picker,T04
2038,nubinitio,wauto,T04
