time (min)	Molar Mass 1	time (min)	Molar Mass 2	time (min)	LS	time (min)	UV
27.5385484566078	78354.6464065131	28.9062426897106	-11612.9793171544	26.7768983747003	-0.0451199335258766	26.7769507250334	-0.00588999679154337
27.5467382424348	170994.696506927	28.9144324755375	-11475.591590321	26.7850881605272	-0.0528170434436476	26.7851405108603	-0.00529017070946849
27.5549280282617	132635.431564706	28.9226222613645	-11259.5897283932	26.7932779463542	-0.0605141533614185	26.7933302966873	-0.00464995713209605
27.5631178140887	192553.963084352	28.9308120471915	-10924.1065951855	26.8014677321811	-0.0684063794969686	26.8015200825143	-0.00404319396493031
27.5713075999156	179254.989915483	28.9390018330184	-10809.8247774927	26.8096575180081	-0.0520093061318318	26.8097098683412	-0.00347714480121335
27.5794973857426	185805.819406591	28.9471916188454	-10807.6339954962	26.8178473038351	-0.0549189558386154	26.8178996541682	-0.00294737227864216
27.5876871715696	187479.569094286	28.9553814046723	-10736.8165670154	26.826037089662	-0.0578286055454097	26.8260894399951	-0.00244389762494708
27.5958769573965	187325.137461541	28.9635711904993	-10601.1288930104	26.834226875489	-0.0840283561252753	26.8342792258221	-0.00196386459160369
27.6040667432235	187567.009567147	28.9717609763263	-10698.3346390337	26.842416661316	-0.074502875748841	26.8424690116491	-0.00147636516928486
27.6122565290505	232408.669965845	28.9799507621532	-10786.4477736752	26.8506064471429	-0.0640667457175017	26.850658797476	-0.000907113456665427
27.6204463148774	155967.776532717	28.9881405479802	-10680.2944628297	26.8587962329699	-0.0538293335203637	26.858848583303	-0.0002872158903506
27.6286361007044	162928.789319614	28.9963303338072	-10772.9454997704	26.8669860187968	-0.0515561919010893	26.86703836913	0.000391359264830221
27.6368258865313	146763.101572574	29.0045201196341	-10695.8876365424	26.8751758046238	-0.0507013214354658	26.8752281549569	0.00103149731148454
27.6450156723583	136371.123858119	29.0127099054611	-10660.6451378092	26.8833655904508	-0.0567805703730996	26.8834179407839	0.00163369294609622
27.6532054581853	130573.027204506	29.020899691288	-10578.2789273822	26.8915553762777	-0.0628598193107387	26.8916077266108	0.00219285181866051
27.6613952440122	86384.5249611625	29.029089477115	-10206.776552846	26.8997451621047	-0.0494853609516175	26.8997975124378	0.0027436475689554
27.6695850298392	-8484.56434857882	29.037279262942	-10144.5797439334	26.9079349479317	-0.0466304067334586	26.9079872982648	0.00340008268158017
27.6777748156662	-6049.95888955037	29.0454690487689	-10022.7219237055	26.9161247337586	-0.055441358129066	26.9161770840917	0.00407648860451202
27.6859646014931	-108466.295264669	29.0536588345959	-10566.8983710471	26.9243145195856	-0.0642523095246735	26.9243668699187	0.00476634154978094
27.6941543873201	41132.1619265627	29.0618486204229	-10352.0104965765	26.9325043054126	-0.0244019375785378	26.9325566557457	0.00546480062835266
27.702344173147	-2455.60367356559	29.0700384062498	-10522.7358117785	26.9406940912395	-0.0270341224609068	26.9407464415726	0.00621675230925643
27.710533958974	-61305.7742806639	29.0782281920768	-10535.9760496623	26.9488838770665	-0.0296663073432866	26.9489362273996	0.00698437421875768
27.718723744801	-49531.7508666969	29.0864179779038	-10484.9431706581	26.9570736628934	-0.0355450928713844	26.9571260132265	0.0077341043671007
27.7269135306279	-25606.6567992086	29.0946077637307	-10147.0065729193	26.9652634487204	-0.0604455815481185	26.9653157990535	0.00854533586573436
27.7351033164549	-19647.4573048362	29.1027975495577	-10031.3677307728	26.9734532345474	-0.0659989813785424	26.9735055848805	0.00943251228297629
27.7432931022819	-12768.2266892724	29.1109873353846	-9943.18219412522	26.9816430203743	-0.0652149767765668	26.9816953707074	0.0103112086940146
27.7514828881088	-12394.2920106664	29.1191771212116	-9945.63753679241	26.9898328062013	-0.0673360586753116	26.9898851565344	0.0112910983830791
27.7596726739358	-12381.382876375	29.1273669070386	-9943.62616342199	26.9980225920282	-0.0694571405740616	26.9980749423614	0.0123957212294251
27.7678624597627	-11984.933725615	29.1355566928655	-9928.55729957081	27.0062123778552	-0.0636767101549789	27.0062647281883	0.0134681207935644
27.7760522455897	-12138.421926963	29.1437464786925	-9796.45474142555	27.0144021636822	-0.0585882854691024	27.0144545140153	0.0145079524060894
27.7842420314167	-34442.5030267791	29.1519362645194	-9722.2945512528	27.0225919495091	-0.0568878235358767	27.0226442998422	0.0155228374155947
27.7924318172436	-20262.3226797377	29.1601260503464	-9719.54232092463	27.0307817353361	-0.0551873616026457	27.0308340856692	0.0165466076189462
27.8006216030706	-20174.3264619952	29.1683158361734	-9644.34900472785	27.0389715211631	-0.0275947352106996	27.0390238714962	0.0175516750369724
27.8088113888976	-20103.2714179933	29.1765056220003	-9547.72287200584	27.04716130699	0.0634610211908364	27.0472136573231	0.0185994975770533
27.8170011747245	-23620.8425681309	29.1846954078273	-9198.82885566181	27.055351092817	0.0511653306970644	27.0554034431501	0.0197216429570282
27.8251909605515	-12626.0061780965	29.1928851936543	-9116.30625536552	27.063540878644	0.0388696402032923	27.0635932289771	0.0208923123560289
27.8333807463784	-10906.4473905705	29.2010749794812	-9030.86473471576	27.0717306644709	0.0031103686839662	27.071783014804	0.0221673501356466
27.8415705322054	-10003.2739190244	29.2092647653082	-8990.33967551442	27.0799204502979	-0.0501933321684412	27.079972800631	0.0235208583475027
27.8497603180324	-12243.2111262776	29.2174545511352	-8939.27830394646	27.0881102361248	-0.0418982235436582	27.088162586458	0.0248181938077059
27.8579501038593	-12309.1624656172	29.2256443369621	-8926.25716818434	27.0963000219518	-0.0391538621398657	27.0963523722849	0.0260246834826225
