time (min)	LS	time (min)	UV
-0.077409351910588	-0.00791543624691643	0.0373	0.00221608766510928
-0.0692195660836253	-0.00828642700365425	0.0454897858269627	0.00228240520886113
-0.0610297802566625	-0.0104099418496662	0.0536795716539255	0.00231978368691696
-0.0528399944296998	-0.0112752983063154	0.0618693574808882	0.00237957662236939
-0.044650208602737	-0.0121228374549762	0.070059143307851	0.00254544336910302
-0.0364604227757743	-0.0121387686828575	0.0782489291348137	0.00276435155397683
-0.0282706369488115	-0.0088825924769065	0.0864387149617765	0.00308070566713296
-0.0200808511218488	-0.0074331946447091	0.0946285007887393	0.00347419152360215
-0.011891065294886	-0.00782037541499201	0.102818286615702	0.0038937525612712
-0.00370127946792329	-0.00820755618527434	0.111008072442665	0.00433820817053279
0.00448850635903946	-0.00995089068456244	0.119197858269627	0.00479873146579773
0.0126782921860022	-0.0122472590352393	0.12738764409659	0.00524181609962275
0.020868078012965	-0.0120878488369543	0.135577429923553	0.00565553785457722
0.0290578638399277	-0.0111961618780698	0.143767215750516	0.00601812555396146
0.0372476496668904	-0.00994347038544473	0.151957001577479	0.00625501081621501
0.0454374354938532	-0.00932106469510896	0.160146787404441	0.00643258593670806
0.0536272213208159	-0.0100979762068154	0.168336573231404	0.00669483496132889
0.0618170071477787	-0.0108748877185219	0.176526359058367	0.00695607628734379
0.0700067929747414	-0.0130511164322695	0.18471614488533	0.00717067148862673
0.0781965788017042	-0.0143420269982546	0.192905930712292	0.00732548830799189
0.0863863646286669	-0.0137545508552452	0.201095716539255	0.00738531318629736
0.0945761504556297	-0.0110274686668962	0.209285502366218	0.00740743402439019
0.102765936282592	-0.00891736428629256	0.217475288193181	0.00738681587851718
0.110955722109555	-0.0043195560620047	0.225665074020143	0.00736725879805856
0.119145507936518	-0.00462517067109023	0.233854859847106	0.00743554174524065
0.127335293763481	-0.00493078528017692	0.242044645674069	0.00750856809342515
0.135525079590443	-0.00189540248991691	0.250234431501032	0.00758160467603075
0.143714865417406	0.0473752600656303	0.258424217327994	0.00763924253292361
0.151904651244369	0.0869522014037701	0.266614003154957	0.0076739494707743
0.160094437071332	0.106059577779453	0.27480378898192	0.00764321843507124
0.168284222898294	0.125166954155137	0.282993574808882	0.00751591871481711
0.176474008725257	0.197277787803562	0.291183360635845	0.00736579346842186
0.18466379455222	0.203053938215691	0.299373146462808	0.00723472711955054
0.192853580379183	0.255894941110438	0.307562932289771	0.00712810737837834
0.201043366206146	0.48758635562341	0.315752718116733	0.00702658702771803
0.209233152033108	0.613132573842403	0.323942503943696	0.00691446205368271
0.217422937860071	0.670230760636235	0.332132289770659	0.00679693875271297
0.225612723687034	0.693104931717487	0.340322075597622	0.00668821168983413
0.233802509513997	0.646346950482543	0.348511861424584	0.00657972167373511
0.241992295340959	0.599588969247598	0.356701647251547	0.00644998715370445
0.250182081167922	0.731932795509077	0.36489143307851	0.0062410462848785
0.258371866994885	0.785000926173163	0.373081218905472	0.00599997187809899
0.266561652821847	1	0.381271004732435	0.0057207720859876
0.27475143864881	0.996874055888151	0.389460790559398	0.00552354792148665
0.282941224475773	0.993748111776303	0.397650576386361	0.00541103144407074
0.291131010302736	0.928276190630566	0.405840362213323	0.00536037060261908
0.299320796129698	0.44459629552912	0.414030148040286	0.00530420908002153
0.307510581956661	0.318001164314467	0.422219933867249	0.00523715428724811
0.315700367783624	0.345850273741976	0.430409719694212	0.00514675281958495
0.323890153610587	0.345497349853265	0.438599505521174	0.00505721521555138
0.332079939437549	0.345144425964555	0.446789291348137	0.00495212019997498
0.340269725264512	0.384391640766754	0.4549790771751	0.00480331358725686
0.348459511091475	0.389145791463137	0.463168863002062	0.0047034500112345
0.356649296918437	0.393899942159521	0.471358648829025	0.00462317698959318
0.3648390827454	0.430104212209748	0.479548434655988	0.00455908532341683
0.373028868572363	0.406069490743263	0.487738220482951	0.00452564397376196
0.381218654399326	0.382034769276779	0.495928006309913	0.00458366696876036
0.389408440226288	0.358295176909571	0.504117792136876	0.00466022682575836
0.397598226053251	0.334555584542362	0.512307577963839	0.00474521104440438
0.405788011880214	0.283148393419474	0.520497363790801	0.00480652660747006
0.413977797707177	0.281962085092369	0.528687149617764	0.00483829394118001
0.422167583534139	0.280775776765264	0.536876935444727	0.00481679513205834
0.430357369361102	0.225846395312238	0.54506672127169	0.0047429803019575
0.438547155188065	0.144976413641842	0.553256507098652	0.00462257749636035
0.446736941015027	0.177828276024907	0.561446292925615	0.00449877546570321
0.45492672684199	0.218646734645085	0.569636078752578	0.00445261886057404
0.463116512668953	0.22774723298971	0.577825864579541	0.00439302560731498
0.471306298495916	0.181919389088278	0.586015650406503	0.00431720105107442
0.479496084322878	0.136091545186847	0.594205436233466	0.00421501810510228
0.487685870149841	0.195568660735531	0.602395222060429	0.00409422140342032
0.495875655976804	0.187441505476381	0.610585007887391	0.00396600410032262
0.504065441803767	0.179314350217233	0.618774793714354	0.00382097880555525
0.512255227630729	0.161734239276654	0.626964579541317	0.00365728233906092
0.520445013457692	0.128038260705408	0.63515436536828	0.00356651178546429
0.528634799284655	0.1849833089024	0.643344151195242	0.00347918180641598
0.536824585111617	0.198745227175666	0.651533937022205	0.00339206476662144
0.54501437093858	0.212507145448931	0.659723722849168	0.00330282029892881
0.553204156765543	0.230053558461119	0.667913508676131	0.00320270494289771
0.561393942592506	0.20630982474408	0.676103294503093	0.00312004924841649
0.569583728419468	0.182566091027041	0.684293080330056	0.00314904031168487
0.577773514246431	0.226631595275581	0.692482866157019	0.00324945942841922
