count,experiment,fragments,benchmark
1153,abinitio,auto,T06
1649,abinitio,picker,T06
2869,abinitio,wauto,T06
5112,nubinitio,auto,T06
8510,nubinitio,picker,T06
8076,nubinitio,wauto,T06
