time (min),Molar Mass 1,time (min),LS,time (min),UV
21.5791206402646,26653.658649037,21.2679088941173,0.136539108851513,21.2743401164907,0.122643561620255
21.587310423058,26370.9111572649,21.2760986769107,0.141847276197521,21.2825298992841,0.130306327737138
21.5955002058513,26837.7375673013,21.284288459704,0.149157396807717,21.2907196820774,0.13832128675596
21.6036899886447,26302.7837547867,21.2924782424974,0.157333566768022,21.2989094648708,0.14671811525282
21.611879771438,25948.3236031092,21.3006680252907,0.166322995950369,21.3070992476641,0.155533922561431
21.6200695542314,26197.9449986356,21.3088578080841,0.178937009768327,21.3152890304575,0.164704760616439
21.6282593370247,26351.1648034172,21.3170475908774,0.183668553257107,21.3234788132508,0.17419609037042
21.6364491198181,26355.7330961149,21.3252373736708,0.188400096745888,21.3316685960442,0.184065818781172
21.6446389026114,26696.4119637141,21.3334271564641,0.196838978519134,21.3398583788375,0.194326688189274
21.6528286854048,26843.063890352,21.3416169392575,0.208581044384731,21.3480481616309,0.204937473247726
21.6610184681981,26074.2865759191,21.3498067220508,0.218353365236694,21.3562379444242,0.215890398707433
21.6692082509915,26413.9257737001,21.3579965048442,0.228646971215654,21.3644277272176,0.227228656494005
21.6773980337848,26324.2948959134,21.3661862876375,0.238677194080847,21.3726175100109,0.238986603530745
21.6855878165782,26270.1353807651,21.3743760704309,0.247506139608301,21.3808072928043,0.251157509815044
21.6937775993715,26115.1584979084,21.3825658532242,0.258342105113934,21.3889970755976,0.263669617147983
21.7019673821649,26033.2894359179,21.3907556360176,0.272814341099225,21.397186858391,0.276434008387407
21.7101571649582,26142.8340732214,21.3989454188109,0.286495535251022,21.4053766411843,0.289419256860964
21.7183469477516,26201.9326446367,21.4071352016043,0.298271773505327,21.4135664239777,0.302634182378244
21.7265367305449,26207.3144148566,21.4153249843976,0.312190343628757,21.421756206771,0.316067278775826
21.7347265133383,26253.6486342082,21.423514767191,0.32656336154631,21.4299459895644,0.329673910816784
21.7429162961316,26435.9592878414,21.4317045499843,0.333167407359712,21.4381357723577,0.343437637597636
21.751106078925,26518.8907680858,21.4398943327777,0.350144379546745,21.4463255551511,0.357398608830721
21.7592958617183,26261.5724759797,21.448084115571,0.35680342683949,21.4545153379444,0.371578822762089
21.7674856445117,26430.73316761,21.4562738983644,0.366849653070089,21.4627051207378,0.385924485709691
21.775675427305,26643.94756371,21.4644636811577,0.379171670143428,21.4708949035311,0.400361375147794
21.7838652100984,26446.19163356,21.4726534639511,0.396461704627441,21.4790846863245,0.414827102402274
21.7920549928917,26490.8205220808,21.4808432467444,0.411347566671023,21.4872744691178,0.429307917208301
21.8002447756851,26634.1677162471,21.4890330295378,0.433089546702275,21.4954642519112,0.443841452842118
21.8084345584784,26579.9300417602,21.4972228123311,0.448002179702947,21.5036540347045,0.458444021591631
21.8166243412718,26438.8026891182,21.5054125951245,0.44933685206408,21.5118438174979,0.473135636648945
21.8248141240651,26532.7317505824,21.5136023779178,0.463466462602175,21.5200336002912,0.487944337408716
21.8330039068585,26581.0403634548,21.5217921607112,0.475464514962409,21.5282233830846,0.502828116833888
21.8411936896518,26653.7890695519,21.5299819435045,0.492120077169664,21.5364131658779,0.517707109049322
21.8493834724452,26622.6836252528,21.5381717262979,0.505942454679634,21.5446029486713,0.532561046240581
21.8575732552385,26633.9287640679,21.5463615090912,0.521029603418181,21.5527927314646,0.547347595210743
21.8657630380319,26710.1900880663,21.5545512918846,0.535081718022884,21.560982514258,0.561970620103184
21.8739528208252,26735.841083772,21.5627410746779,0.571487565154015,21.5691722970513,0.576429684539943
21.8821426036186,26661.4775239819,21.5709308574713,0.579345708559007,21.5773620798447,0.590767253710924
21.8903323864119,26727.275046635,21.5791206402646,0.587203851963999,21.585551862638,0.604988414544647
21.8985221692053,26807.8432217551,21.587310423058,0.593283468995648,21.5937416454314,0.61908724506854
21.9067119519986,26757.3572773373,21.5955002058513,0.616350666762756,21.6019314282247,0.633000500722603
21.914901734792,26802.5824005681,21.6036899886447,0.62451402036319,21.6101212110181,0.646715230217135
21.9230915175853,26871.6930867471,21.611879771438,0.628630337898054,21.6183109938114,0.660286232672115
21.9312813003787,26896.8415432205,21.6200695542314,0.644212367409387,21.6265007766048,0.673739193735105
21.939471083172,26812.3635309561,21.6282593370247,0.657877907280748,21.6346905593981,0.687038907423065
21.9476608659654,26765.822561596,21.6364491198181,0.671705080444688,21.6428803421915,0.700112848716645
21.9558506487587,26747.653048702,21.6446389026114,0.68815784587221,21.6510701249848,0.712999041422898
21.9640404315521,26774.7045179261,21.6528286854048,0.703568156474992,21.6592599077782,0.72573131252527
21.9722302143454,26884.6618170637,21.6610184681981,0.704578266212695,21.6674496905715,0.738245591914161
21.9804199971388,26917.6335905562,21.6692082509915,0.72254788673774,21.6756394733649,0.750554259051401
21.9886097799321,26912.4140489956,21.6773980337848,0.733810836115338,21.6838292561582,0.762654398361842
21.9967995627255,26929.683773809,21.6855878165782,0.744915682283484,21.6920190389516,0.774455509102934
22.0049893455188,26934.3786048925,21.6937775993715,0.753627738241038,21.7002088217449,0.785966020013127
22.0131791283122,26948.1099379707,21.7019673821649,0.764048309407591,21.7083986045383,0.797217427555167
22.0213689111055,26937.0360172262,21.7101571649582,0.776370677002715,21.7165883873316,0.808146587118307
22.0295586938989,26934.4543534511,21.7183469477516,0.787931944174912,21.724778170125,0.818744458785863
22.0377484766922,26884.3138282129,21.7265367305449,0.798322741500186,21.7329679529183,0.829087767416306
22.0459382594856,26889.058679797,21.7347265133383,0.809303638966996,21.7411577357117,0.83918388177792
