Time,LS,UV,MW
-0.072392685,-0.0034575340000000004,,
-0.06420290099999999,8.47e-05,,
-0.056013117,0.0047619820000000005,,
-0.047823332999999996,0.00504547,,
-0.039633549,0.004193223,,
-0.031443765,0.003340977,,
-0.023253981,0.0021963079999999997,,
-0.015064197,0.001051639,,
-0.0068744140000000006,0.0010048639999999998,,
0.00131537,-0.001045381,,
0.009505154,-0.006895007,,
0.017694938,-0.0041498970000000005,,
0.025884722000000002,-0.004329155,,
0.034074506,-0.004508413,,
0.04226429,-0.00376616,,
0.050454074,-0.0036247590000000004,,
0.058643858,-0.004003647,,
0.066833642,-0.004382535,,
0.07502342599999999,-0.000811911,,
0.08321321,0.00044382300000000004,,
0.091402994,0.000905025,,
0.099592778,0.001366227,,
0.107782562,0.0035567959999999997,,
0.11597234599999999,0.005991563,,
0.12416213,0.0059774680000000005,,
0.13235191400000001,0.0059633740000000005,,
0.14054169800000002,0.0058710690000000005,,
0.148731482,0.068314088,,
0.156921266,0.095091331,,
0.16511105,0.09553405,,
0.173300834,0.09448813199999999,,
0.18149061800000002,0.09344221400000001,,
0.189680402,0.062210531,,
0.197870186,0.061567618,,
0.20605997,0.060924705,,
0.214249754,0.06772146400000001,,
0.22243953800000002,0.17903464300000002,,
0.230629322,0.19077060899999998,,
0.238819106,0.162923139,,
0.24700888899999998,0.135075669,,
0.255198673,0.13741811199999998,,
0.263388457,0.106866581,,
0.271578241,0.076315051,,
0.279768025,0.047360305,,
0.287957809,0.058252688,,
0.296147593,0.053703167,,
0.304337377,0.049153647,,
0.312527161,0.028444222,,
0.320716945,0.063307516,,
0.328906729,0.17047863100000002,,
0.337096513,0.21378307100000002,,
0.345286297,0.17357718800000002,,
0.353476081,0.133371305,,
0.361665865,0.037638514,,
0.369855649,0.035005753,,
0.378045433,0.028348096,,
0.386235217,0.026792062999999998,,
0.394425001,0.025236029,,
0.402614785,0.021761041000000002,,
0.410804569,0.026045692000000002,,
0.418994353,0.027636942999999997,,
0.427184137,0.027499291000000002,,
0.435373921,0.027361639,,
0.443563705,0.028514742000000003,,
0.451753489,0.054377616,,
0.459943273,0.116694837,,
0.468133057,0.10583115400000001,,
0.476322841,0.094967471,,
0.484512625,0.05442312,,
0.492702409,0.053129617000000004,,
0.500892192,0.051836114,,
0.509081976,0.045959053,,
0.51727176,0.052406163,,
0.525461544,0.041565569,,
0.5336513279999999,0.030724975,,
0.5418411120000001,0.027985477,,
0.550030896,0.023748696,,
0.55822068,0.019511915,,
0.566410464,0.0059877969999999996,,
0.574600248,0.012157876000000001,,
0.582790032,0.020394846,,
0.590979816,0.028631815,,
0.5991696,0.044606104,,
0.607359384,0.039663548,,
0.6155491679999999,0.034720993,,
0.6237389520000001,0.021079844,,
0.631928736,0.007587935,,
0.64011852,0.008774668000000001,,
0.648308304,0.013277688000000001,,
0.656498088,0.015409602,,
0.664687872,0.017541517,,
0.6728776559999999,0.09517458699999999,,
0.68106744,0.079523842,,
0.6892572240000001,0.06387309599999999,,
0.6974470079999999,0.018821533,,
0.7056367920000001,0.003639365,,
0.713826576,0.001278174,,
0.72201636,0.002083078,,
0.7302061440000001,0.0022092229999999997,,
0.738395928,0.002335367,,
0.746585712,0.019925106,,
0.754775495,0.04728249599999999,,
0.7629652790000001,0.039892541000000004,,
0.7711550629999999,0.032502586,,
0.7793448470000001,0.008620888,,
0.787534631,0.006184759000000001,,
0.795724415,0.016488276,,
0.803914199,0.030341191,,
0.812103983,0.034620175,,
0.820293767,0.038899157999999996,,
0.8284835509999999,0.05439676400000001,,
0.836673335,0.046514353,,
0.8448631190000001,0.038631942999999995,,
0.8530529029999999,0.016167795,,
0.8612426870000001,0.0110169,,
0.869432471,0.009162921999999999,,
0.877622255,0.01694232,,
0.885812039,0.019040197,,
0.894001823,0.020941673,,
0.902191607,0.021888069,,
0.9103813909999999,0.022259737999999998,,
0.918571175,0.022344046,,
0.9267609590000001,0.013976658999999999,,
0.9349507429999999,0.005609271999999999,,
0.9431405270000001,0.004339358,,
0.951330311,0.004880886,,
0.959520095,0.005422414,,
0.967709879,0.00781929,,
0.975899663,0.038543535,,
0.984089447,0.033224369,,
0.9922792309999999,0.027905202999999996,,
1.000469014,0.01485372,,
1.008658798,0.022252491,,
1.016848582,0.020790041000000002,,
1.025038366,0.019327591,,
1.03322815,0.012305546,,
1.041417934,0.022165549,,
1.049607718,0.026572867000000003,,
1.0577975020000001,0.026641493999999998,,
1.065987286,0.021005104,,
1.07417707,0.015368713999999999,,
1.082366854,0.010712476,,
1.090556638,0.0045250640000000005,,
1.098746422,0.006124497,,
1.1069362059999999,0.006405276999999999,,
1.11512599,0.006686057,,
1.1233157740000002,0.008799043000000001,,
1.131505558,0.010912028999999998,,
1.139695342,0.012682841,,
1.147885126,0.017017400000000002,,
1.15607491,0.018400449,,
1.164264694,0.01785924,,
1.172454478,0.017318031,,
1.180644262,0.014852563999999999,,
1.188834046,0.002289429,,
1.19702383,0.004200745,,
1.205213614,0.019046413,,
1.213403398,0.041846337000000004,,
1.221593182,0.039894304,,
1.229782966,0.037942272,,
1.23797275,0.032496164,,
1.246162534,0.007370025,,
1.254352317,0.006570034000000001,,
1.262542101,0.004593832,,
1.270731885,0.00261763,,
1.278921669,0.013515553000000001,,
1.287111453,0.011520084,,
1.295301237,0.009524616,,
1.303491021,0.003260073,,
1.311680805,0.002665473,,
1.319870589,0.002070873,,
1.328060373,0.000691937,,
1.336250157,-0.000812421,,
1.3444399409999999,0.0018117629999999999,,
1.352629725,0.004435947,,
