time (min),LS,time (min),UV
-0.0755760185772547,-0.000176566412973973,0.0391333333333333,5.21885550983796E-5
-0.0673862346097809,-0.00361078022482256,0.0473231173008071,5.98047230274024E-5
-0.0591964506423072,-0.00433865822381678,0.0555129012682808,7.25084953121391E-5
-0.0510066666748334,-0.00507804526391202,0.0637026852357546,9.81547361710367E-5
-0.0428168827073597,-0.00552054050141444,0.0718924692032284,0.000149864675797757
-0.0346270987398859,-0.00605359997234917,0.0800822531707021,0.000229517999240298
-0.0264373147724122,-0.005990859392782,0.0882720371381759,0.000326032503128554
-0.0182475308049384,-0.00597483347812141,0.0964618211056496,0.000428657400572751
-0.0100577468374647,-0.00595880756346094,0.104651605073123,0.000529007669219427
-0.00186796286999091,-0.00463470154374605,0.112841389040597,0.000624602617380914
0.00632182109748284,-0.00409575621807264,0.121031173008071,0.000713766514695864
0.0145116050649566,-0.00439149403214468,0.129220956975545,0.000796140403272237
0.0227013890324303,-0.00468723184621698,0.137410740943018,0.000871070160701973
0.0308911729999041,-0.00552101478698039,0.145600524910492,0.00094356171937457
0.0390809569673778,-0.00596562677850897,0.153790308877966,0.00101255335116436
0.0472707409348516,-0.00583614613840933,0.16198009284544,0.00107787004772352
0.0554605249023254,-0.0059575169010309,0.170169876812913,0.00113823973098069
0.0636503088697991,-0.00607888766365247,0.178359660780387,0.00118870932505175
0.0718400928372729,-0.00570978046729179,0.186549444747861,0.00122992599242366
0.0800298768047466,-0.00552129622022401,0.194739228715335,0.00126488346508575
0.0882196607722204,-0.00547216727653887,0.202929012682808,0.00129672813450647
0.0964094447396941,-0.00588679948277006,0.211118796650282,0.00132630958538317
0.104599228707168,-0.00630143168900138,0.219308580617756,0.00135258379147995
0.112789012674642,-0.00594944469024281,0.22749836458523,0.00137285194069869
0.120978796642115,-0.00158424315742935,0.235688148552703,0.00139075780455422
0.129168580609589,0.00601098821065326,0.243877932520177,0.00140321529941715
0.137358364577063,0.0245579571590723,0.252067716487651,0.00140957346227995
0.145548148544537,0.0632810402297345,0.260257500455125,0.00141287479609966
0.15373793251201,0.0668884432671212,0.268447284422598,0.00141456950788212
0.161927716479484,0.089591360016163,0.276637068390072,0.00141479754700115
0.170117500446958,0.251585726754301,0.284826852357546,0.00141288253488957
0.178307284414432,0.416314054987127,0.29301663632502,0.00140783660894085
0.186497068381905,0.610312743495003,0.301206420292494,0.00140167509880643
0.194686852349379,0.784133362639494,0.309396204259967,0.00139172098499168
0.202876636316853,0.841309210504938,0.317585988227441,0.00137490855685147
0.211066420284327,0.898485058370382,0.325775772194915,0.00135709867219395
0.2192562042518,0.953333837049698,0.333965556162389,0.0013397235721246
0.227445988219274,0.960711410675304,0.342155340129862,0.00132279728959572
0.235635772186748,0.878384705202283,0.350345124097336,0.0013064211530673
0.243825556154222,0.796057999729262,0.35853490806481,0.00129027951543328
0.252015340121695,0.718544504501426,0.366724692032284,0.00127343222451767
0.260205124089169,0.827212660849244,0.374914475999757,0.00125605790909701
0.268394908056643,0.88064056139953,0.383104259967231,0.00123806252645759
0.276584692024117,0.910858768065732,0.391294043934705,0.00121952627829381
0.28477447599159,0.99079668532997,0.399483827902179,0.00119750363685499
0.292964259959064,1,0.407673611869653,0.00117279888806047
0.301154043926538,0.915811345532072,0.415863395837126,0.00114901550632555
0.309343827894012,0.831622691064145,0.4240531798046,0.00112575024293201
0.317533611861486,0.740429456070732,0.432242963772074,0.00110216256951862
0.325723395828959,0.665799901704435,0.440432747739548,0.0010781443120428
0.333913179796433,0.591170347338139,0.448622531707021,0.00105365094002283
0.342102963763907,0.742022241255842,0.456812315674495,0.00102998495286342
0.350292747731381,0.734869525712838,0.465002099641969,0.00100657516060458
0.358482531698854,0.727716810169834,0.473191883609443,0.000982015082731261
0.366672315666328,0.569229727402495,0.481381667576917,0.000958182256871578
0.374862099633802,0.484369095098865,0.48957145154439,0.000935882234270245
0.383051883601276,0.560138328834343,0.497761235511864,0.000914628189979536
0.391241667568749,0.587318091506366,0.505951019479338,0.000893463083358606
0.399431451536223,0.576124407621111,0.514140803446812,0.000872122719352105
0.407621235503697,0.564930723735856,0.522330587414285,0.000849268288500705
0.415811019471171,0.515363593293324,0.530520371381759,0.000825285999109625
0.424000803438645,0.332660525218593,0.538710155349233,0.00080595217115721
0.432190587406118,0.399818523318507,0.546899939316706,0.000788342269284519
0.440380371373592,0.445681868363863,0.55508972328418,0.000772121537610331
0.448570155341066,0.447692557711945,0.563279507251654,0.000756374133362386
0.45675993930854,0.446318713650924,0.571469291219128,0.000740814601185189
0.464949723276013,0.444944869589902,0.579659075186601,0.000724331269056282
0.473139507243487,0.450534551349346,0.587848859154075,0.000707218598613887
0.481329291210961,0.449264584161623,0.596038643121549,0.000692375811674617
0.489519075178435,0.4479946169739,0.604228427089022,0.000678295882093424
0.497708859145908,0.40244861108883,0.612418211056496,0.000664656598059747
0.505898643113382,0.354515734466844,0.62060799502397,0.000651282115289844
0.514088427080856,0.306582857844857,0.628797778991444,0.000637663597201596
0.52227821104833,0.202953771585967,0.636987562958917,0.000623831681305648
0.530467995015803,0.205099415669702,0.645177346926391,0.000609458042278323
0.538657778983277,0.205647843672604,0.653367130893865,0.000595019587615415
0.546847562950751,0.196761127881853,0.661556914861338,0.000582037129990183
0.555037346918225,0.187874412091102,0.669746698828812,0.000571236812846842
0.563227130885698,0.169552552506697,0.677936482796286,0.00056050281817895
0.571416914853172,0.152402185508835,0.68612626676376,0.000549507809327727
0.579606698820646,0.170985662396729,0.694316050731233,0.000537358025690225
