count,experiment,fragments,benchmark
1727,abinitio,auto,T14
3,abinitio,picker,T14
339,abinitio,wauto,T14
10296,nubinitio,auto,T14
10296,nubinitio,picker,T14
10296,nubinitio,wauto,T14
